variable_names,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype
variable_categories,1,2,3,4,5,6,7,8
geo,,,,,,,,
508,1301,1785,638,394,216,93,13,18
509,2425,4412,550,261,92,58,20,5
510,1533,2741,1108,777,340,160,48,56
511,2009,2979,363,244,91,41,21,2
512,1749,2924,932,794,261,106,24,6
513,1213,2164,806,696,380,197,73,34
514,1613,1823,585,343,185,51,32,30
515,1163,2628,486,305,140,58,12,15
516,1386,2122,1033,760,275,59,15,11
517,2172,1788,945,518,191,70,1,13
518,1149,2114,562,491,233,88,36,31
519,1643,2002,558,386,181,79,47,12
520,1326,2301,572,487,165,40,11,11
521,1227,1798,499,286,187,85,23,10
522,1402,1511,522,439,185,63,20,11
523,1513,2626,674,446,230,107,28,15
524,2123,2735,641,598,205,88,28,21
525,765,1032,916,786,268,103,12,17
526,537,740,539,477,242,102,68,51
527,1224,1103,537,422,227,116,25,23
528,1792,1590,567,494,137,29,6,3
529,772,784,640,502,255,145,47,26
530,868,906,570,443,287,95,46,36
531,590,965,777,572,237,95,21,12
532,618,1182,938,759,348,110,18,8
533,773,988,654,445,226,85,29,18
534,882,1004,633,497,222,80,36,19
535,1868,1298,664,348,183,87,45,16
536,1928,1637,604,335,110,27,9,9
537,1757,1423,697,447,169,76,18,10
538,1859,1565,687,483,159,32,17,0
539,1126,1206,871,438,203,71,34,35
540,889,1208,640,550,224,66,20,8
541,745,1218,695,458,192,84,25,11
542,444,800,651,632,330,117,28,12
543,478,986,736,658,266,94,16,15
544,839,1138,625,496,196,81,23,6
545,365,836,737,753,367,99,37,14
546,492,841,685,666,316,147,53,21
547,482,887,817,738,353,100,32,30
548,475,685,674,611,354,163,54,72
549,1083,1631,568,432,194,76,36,13
550,874,1731,599,532,264,102,12,13
551,2226,2776,1244,893,457,110,55,32
552,887,1343,534,428,180,98,75,33
553,1030,1601,879,696,395,165,71,61
554,978,1517,915,814,356,191,54,35
555,952,1685,982,820,249,122,18,12
556,1277,1433,836,641,335,84,47,30
557,1916,1746,712,459,194,59,30,15
558,1275,1218,828,444,263,117,37,30
559,1618,1689,733,510,166,88,18,8
560,887,1252,698,490,205,88,21,3
561,791,1462,940,872,350,150,69,21
562,704,1501,905,851,263,102,19,36
563,1301,1852,1022,912,428,184,50,36
564,912,1429,789,783,424,123,45,18
565,1365,1890,656,518,144,35,10,4
566,1471,1940,648,432,228,57,23,14
567,2135,1920,852,581,272,132,42,27
568,1298,1542,839,589,240,94,46,33
569,1226,1452,647,599,310,155,71,24
570,2092,2719,884,515,228,91,41,30
571,2470,2550,532,296,116,43,10,15
572,1963,2087,576,459,138,43,8,4
573,1304,1465,613,529,165,59,8,6
574,682,1685,597,777,285,61,29,9
575,1195,1512,751,660,318,110,53,27
576,1243,1874,740,598,286,103,43,17
577,1347,1864,607,437,170,65,22,22
578,2066,2278,791,454,180,54,40,21
579,1015,1898,901,789,332,100,39,10
580,1604,2214,609,469,199,42,11,5
581,1897,2008,570,390,110,50,6,9
582,1552,1778,566,384,167,41,15,3
583,1748,1873,620,367,102,43,5,9
584,1614,2066,549,377,121,35,10,6
585,1697,1726,623,417,146,62,16,11
586,2841,2448,875,554,145,72,15,3
587,1757,1994,552,331,135,44,9,8
588,1926,2530,1002,769,352,148,33,42
589,1581,2510,1088,783,397,149,77,35
590,1088,1865,805,700,317,143,51,29
591,1293,2078,657,509,297,180,36,44
592,1241,1710,521,350,190,69,32,22
593,1549,3021,1294,1126,415,188,25,11
594,1530,1773,508,291,210,87,28,26
595,1373,2888,1113,997,389,211,50,7
596,1273,2393,1155,880,432,134,54,26
597,2168,2416,579,417,167,37,23,16
598,2215,2983,667,395,153,55,10,6
599,1468,2996,722,455,216,82,22,4
600,1293,1612,780,618,186,80,17,1
601,1087,1556,671,647,189,67,15,27
602,1329,1617,664,539,194,61,40,5
603,758,1444,746,697,292,69,28,23
604,954,1390,472,416,246,37,32,11
605,1401,1884,713,440,207,100,28,13
606,2337,2169,648,407,179,47,13,8
607,2131,2625,714,429,206,76,18,7
608,878,1784,819,601,322,90,48,15
609,1592,2174,972,743,321,108,22,15
610,972,1354,815,629,298,101,40,11
611,1374,1835,894,760,329,113,30,27
612,2021,2175,970,651,269,108,44,22
613,1243,1819,701,505,197,72,50,3
614,1692,2098,937,712,396,132,37,25
615,1246,1415,662,476,222,60,26,18
616,1360,1644,864,515,235,111,59,10
617,1030,1534,707,480,234,79,28,14
618,1401,1419,744,559,192,67,21,25
619,2153,1940,617,566,221,44,12,0
620,715,1173,821,883,260,76,25,14
621,2072,1401,693,332,147,84,39,31
622,1430,1237,711,599,283,99,35,8
623,1392,2180,1049,959,330,126,22,7
624,2950,2043,566,428,156,43,3,2
625,3200,2063,645,386,131,54,9,8
626,1450,1303,801,534,209,129,35,31
627,1216,1509,677,529,297,76,29,16
628,1494,1814,870,696,309,151,35,52
629,1492,1691,832,513,281,109,27,33
630,2033,1950,803,539,298,97,58,29
631,1491,2113,1124,836,318,132,41,15
632,1946,2473,1051,658,327,121,39,30
633,2528,2331,1149,926,373,116,62,45
634,1815,2185,937,661,279,147,38,45
635,1614,1924,858,649,291,137,55,8
636,1534,1418,854,572,336,105,64,57
637,2007,1744,757,496,177,86,22,30
638,2125,1980,890,707,360,110,72,49
639,2132,1784,828,730,255,100,31,28
640,1080,1767,1055,791,310,104,67,27
641,1059,1202,643,492,213,87,28,21
642,964,1341,765,653,277,109,52,27
643,815,1466,675,615,310,89,34,20
644,1603,2179,1067,730,373,157,58,27
645,1679,2480,1113,793,337,127,59,29
646,855,1119,566,507,286,108,63,55
647,1646,2698,998,812,510,181,42,32
648,820,1259,740,505,263,108,48,19
649,2112,1928,923,702,290,110,59,13
650,1086,1461,869,727,366,149,57,15
651,882,1492,875,839,358,153,42,35
652,2104,2431,1150,826,359,194,48,21
653,899,1905,934,1064,361,124,43,11
654,1040,1450,812,638,233,96,31,43
655,710,1671,787,746,357,122,51,19
656,1327,2303,782,556,239,113,23,14
657,1098,2329,1543,1772,622,218,53,37
658,1319,2225,1012,973,490,268,61,84
659,1333,1870,693,597,283,117,51,26
660,1590,1796,681,529,195,69,3,17
661,1069,1687,702,632,224,64,51,17
662,986,1686,838,809,414,139,39,32
663,893,1559,795,661,298,111,31,27
664,2471,2253,1112,746,335,139,59,21
665,1434,1625,971,808,335,165,55,35
666,605,1184,821,809,383,128,86,12
667,980,1460,1019,887,515,239,46,52
668,514,1132,795,703,328,153,66,36
669,705,1337,831,655,384,142,56,68
670,1601,1863,1168,1102,610,217,109,83
671,1045,1533,932,683,347,137,28,13
672,1375,1712,764,563,211,65,23,17
673,1552,2132,1137,999,562,275,91,59
674,1153,1573,917,718,332,114,50,58
675,990,1627,1020,970,428,184,73,34
676,2215,1284,608,391,193,86,29,44
677,882,1103,643,576,354,128,62,35
678,1790,1473,913,738,446,161,68,49
679,698,1112,766,630,329,115,33,27
680,727,1363,723,627,284,103,31,23
681,1791,2733,1139,943,517,261,155,175
682,1867,2522,1040,705,427,191,78,111
